YEAR,Car_Age,MILEAGE,CAR_PRICE
2019,4,19388,19000
2018,5,36981,15985
2016,7,55166,19874
2012,11,172519,10900
2022,1,20998,28998
2020,3,48135,22995
2015,8,143000,11300
2015,8,69572,16881
2016,7,74737,17681
